task_id,controller,seed,success,total_cost,turns_used,intervention_count,final_drift,cnsr
task_042,NoControl,1685,True,1.0000000000000004,50,0,0.3421654147639942,0.9999999999999996
task_043,NoControl,1698,False,1.0000000000000004,50,0,0.3934944509080926,0.0
task_044,NoControl,1711,False,1.0000000000000004,50,0,0.40707769983111897,0.0
task_045,NoControl,1724,False,1.0000000000000004,50,0,0.4655548595437627,0.0
task_046,NoControl,1737,False,1.0000000000000004,50,0,0.5179566279867539,0.0
task_047,NoControl,1750,False,1.0000000000000004,50,0,0.4899287586873806,0.0
task_048,NoControl,1763,False,1.0000000000000004,50,0,0.42962487935944843,0.0
task_049,NoControl,1776,False,1.0000000000000004,50,0,0.5916011405423736,0.0
task_000,NoControl,2236,False,1.0000000000000004,50,0,0.47707796981717504,0.0
task_001,NoControl,2249,False,1.0000000000000004,50,0,0.47673400617093964,0.0
task_002,NoControl,2262,False,1.0000000000000004,50,0,0.5129988451930435,0.0
task_003,NoControl,2275,False,1.0000000000000004,50,0,0.5112105346145595,0.0
task_004,NoControl,2288,False,1.0000000000000004,50,0,0.37087724094553615,0.0
task_005,NoControl,2301,False,1.0000000000000004,50,0,0.5313046871426581,0.0
task_006,NoControl,2314,False,1.0000000000000004,50,0,0.4898839216016151,0.0
task_007,NoControl,2327,False,1.0000000000000004,50,0,0.4201096814648895,0.0
task_008,NoControl,2340,True,1.0000000000000004,50,0,0.34033600722704954,0.9999999999999996
task_009,NoControl,2353,False,1.0000000000000004,50,0,0.590749559017028,0.0
task_010,NoControl,2366,False,1.0000000000000004,50,0,0.5557629162554036,0.0
task_011,NoControl,2379,False,1.0000000000000004,50,0,0.5557741516763017,0.0
task_012,NoControl,2392,False,1.0000000000000004,50,0,0.38371501017096277,0.0
task_013,NoControl,2405,False,1.0000000000000004,50,0,0.5327939692213872,0.0
task_014,NoControl,2418,False,1.0000000000000004,50,0,0.48218093663447226,0.0
task_015,NoControl,2431,False,1.0000000000000004,50,0,0.4740805126492681,0.0
task_016,NoControl,2444,True,1.0000000000000004,50,0,0.34057827582892136,0.9999999999999996
task_017,NoControl,2457,False,1.0000000000000004,50,0,0.4843841115916318,0.0
task_018,NoControl,2470,False,1.0000000000000004,50,0,0.4581702160366476,0.0
task_019,NoControl,2483,False,1.0000000000000004,50,0,0.5298586654531405,0.0
task_020,NoControl,2496,False,1.0000000000000004,50,0,0.3744936589784801,0.0
task_021,NoControl,2509,False,1.0000000000000004,50,0,0.4989971775877396,0.0
task_022,NoControl,2522,False,1.0000000000000004,50,0,0.5760326760051812,0.0
task_023,NoControl,2535,False,1.0000000000000004,50,0,0.4715156892079219,0.0
task_024,NoControl,2548,False,1.0000000000000004,50,0,0.6786067911650162,0.0
task_025,NoControl,2561,False,1.0000000000000004,50,0,0.47545360525265457,0.0
task_026,NoControl,2574,False,1.0000000000000004,50,0,0.5803025908505266,0.0
task_027,NoControl,2587,False,1.0000000000000004,50,0,0.5606683576568522,0.0
task_028,NoControl,2600,False,1.0000000000000004,50,0,0.6770006614678807,0.0
task_029,NoControl,2613,False,1.0000000000000004,50,0,0.3989894008658994,0.0
task_030,NoControl,2626,False,1.0000000000000004,50,0,0.44292771780622286,0.0
task_031,NoControl,2639,False,1.0000000000000004,50,0,0.5742891848895874,0.0
task_032,NoControl,2652,False,1.0000000000000004,50,0,0.5145327747302606,0.0
task_033,NoControl,2665,False,1.0000000000000004,50,0,0.4794636600868491,0.0
task_034,NoControl,2678,False,1.0000000000000004,50,0,0.45548203767059436,0.0
task_035,NoControl,2691,False,1.0000000000000004,50,0,0.49432092842044917,0.0
task_036,NoControl,2704,False,1.0000000000000004,50,0,0.4115051115133899,0.0
task_037,NoControl,2717,False,1.0000000000000004,50,0,0.39457734331271777,0.0
task_038,NoControl,2730,False,1.0000000000000004,50,0,0.47093050653825386,0.0
task_039,NoControl,2743,False,1.0000000000000004,50,0,0.4803439573913623,0.0
task_040,NoControl,2756,False,1.0000000000000004,50,0,0.6460386619621592,0.0
task_041,NoControl,2769,False,1.0000000000000004,50,0,0.44713463336814324,0.0
task_042,NoControl,2782,False,1.0000000000000004,50,0,0.4669876379705099,0.0
task_043,NoControl,2795,False,1.0000000000000004,50,0,0.47706562289167215,0.0
task_044,NoControl,2808,False,1.0000000000000004,50,0,0.4226883799187406,0.0
task_045,NoControl,2821,False,1.0000000000000004,50,0,0.4949429956125603,0.0
task_046,NoControl,2834,False,1.0000000000000004,50,0,0.41422692447155196,0.0
task_047,NoControl,2847,False,1.0000000000000004,50,0,0.515930028841889,0.0
task_048,NoControl,2860,False,1.0000000000000004,50,0,0.4862562105192809,0.0
task_049,NoControl,2873,False,1.0000000000000004,50,0,0.4542670905979358,0.0
task_000,FixedSchedule,42,False,1.0500000000000005,50,5,0.35520540666491196,0.0
task_001,FixedSchedule,55,True,1.0500000000000005,50,5,0.29128365705709947,0.9523809523809519
task_002,FixedSchedule,68,False,1.0500000000000005,50,5,0.3963854351575655,0.0
task_003,FixedSchedule,81,False,1.0500000000000005,50,5,0.3758988613377138,0.0
task_004,FixedSchedule,94,False,1.0500000000000005,50,5,0.41241814209576244,0.0
task_005,FixedSchedule,107,False,1.0500000000000005,50,5,0.38413333325432514,0.0
task_006,FixedSchedule,120,True,1.0500000000000005,50,5,0.33064431212796397,0.9523809523809519
task_007,FixedSchedule,133,False,1.0500000000000005,50,5,0.4274907738335082,0.0
task_008,FixedSchedule,146,False,1.0500000000000005,50,5,0.44416318572114116,0.0
task_009,FixedSchedule,159,True,1.0500000000000005,50,5,0.31033237784896184,0.9523809523809519
task_010,FixedSchedule,172,False,1.0500000000000005,50,5,0.3798285253759937,0.0
task_011,FixedSchedule,185,False,1.0500000000000005,50,5,0.44893225476022924,0.0
task_012,FixedSchedule,198,True,1.0500000000000005,50,5,0.3073576970651405,0.9523809523809519
task_013,FixedSchedule,211,True,1.0500000000000005,50,5,0.3316018537576487,0.9523809523809519
task_014,FixedSchedule,224,True,1.0500000000000005,50,5,0.27869618731569235,0.9523809523809519
task_015,FixedSchedule,237,False,1.0500000000000005,50,5,0.3687634981460244,0.0
task_016,FixedSchedule,250,False,1.0500000000000005,50,5,0.4525676469693076,0.0
task_017,FixedSchedule,263,False,1.0500000000000005,50,5,0.38572938427495945,0.0
task_018,FixedSchedule,276,False,1.0500000000000005,50,5,0.4204939693204349,0.0
task_019,FixedSchedule,289,False,1.0500000000000005,50,5,0.373582788868334,0.0
task_020,FixedSchedule,302,True,1.0500000000000005,50,5,0.3398017414704791,0.9523809523809519
task_021,FixedSchedule,315,False,1.0500000000000005,50,5,0.4279361099543775,0.0
task_022,FixedSchedule,328,False,1.0500000000000005,50,5,0.35740446650700153,0.0
task_023,FixedSchedule,341,False,1.0500000000000005,50,5,0.3875444677048919,0.0
task_024,FixedSchedule,354,False,1.0500000000000005,50,5,0.4294303298577299,0.0
